"title","street","city","state","zip","country","phone"
"BLOOMINGDALE'S Boca Raton","5840 Glades Road","Boca Raton","FL","33487","US","561-394-2083"
"BLOOMINGDALE'S Medinah Temple","600 North Wabash Ave","Chicago","IL","60611","US","312-324-7600"
"BLOOMINGDALE'S White Plains","175 Bloomingdale Road","White Plains","NY","10605","US","914-684-6311"
"BLOOMINGDALE'S Bergen County","400 Hackensack Ave. Riverside Square Mall","Hackensack","NJ","07601","US","201-457-2257"
"BLOOMINGDALE'S Aventura","19555 Biscayne Blvd","Aventura","FL","33180","US","305-792-1226"
"BLOOMINGDALE'S Miami","8778 SW 136 St.","Miami","FL","33176","US","305-252-6240"
"BLOOMINGDALE'S Newport Beach","701 Newport Center Drive","Newport Beach","CA","92660","US","949-729-6834"
"BLOOMINGDALE'S New York","1000 Third Ave - 5th Floor","New York","NY","10022","US","212-705-2645"
"BLOOMINGDALE'S Willowbrook","3 Willowbrook Blvd-Willowbrook Mall 3rd Floor","Wayne","NJ","7470","US","973-582-2594"
"BLOOMINGDALE'S Century City","10250 Santa Monica Blvd.","Los Angeles","CA","90067","US","310-772-2100"
"BLOOMINGDALE'S South Coast Plaza","3333 S. Bristol Street","Costa Mesa","CA","92626","US","714-824-4732"
"BLOOMINGDALE'S Sherman Oaks","14060 Riverside Drive","Sherman Oaks","CA","91423","US","818-325-2200"
"BLOOMINGDALES - San Francisco","845 Market Street","San Francisco","CA","94103","US","415-856-5333"
"BLOOMINGDALE'S King of Prussia","660 West Dekalb Pike","King of Prussia","PA","19406","US","610-337-6245"
"BLOOMINGDALE'S Chestnut Hill","175 Boylston St - The Mall at Chestnut Hill","Newton","MA","2467","US","617-630-6075"
"BLOOMINGDALE'S - OLD ORCHARD","4963 OLD ORCHARD CENTER","SKOKIE","IL","60077","US","847-568-6559"
"BLOOMINGDALE'S Roosevelt Field","630 Old Country Road - Roos. Field 'Furniture Gall","Garden City","NY","11530","US","516-873-2774"
"BLOOMINGDALE'S Tysons Corner","8100 Tysons Corner Center","McLean","VA","22102","US","703-556-4557"
"BLOOMINGDALE'S Willow Grove","2400 Moreland Park","Willow Grove","PA","19090","US","215-706-3349"
"Bloomingdale's - Palo Alto","1 Stanford Shopping Center","Palo Alto","CA","94304","US","650 463 2000"
"MANCINI - SUNNYVALE","968 E. ELCAMINO REAL","Sunnyvale","CA","94087","US","408-245-6251"
"MANCINI - LOS ALTOS","2034 W. ELCAMINO REAL","MOUNTAIN VIEW","CA","94040","US","650-988-1300"
"MANCINI - SAN FRANCISCO","1450 VAN NESS AVE","SAN FRANCISCO","CA","94109","US","415-447-1841"
"MANCINI - REDWOOD CITY","2700 EL CAMINO REAL","REDWOOD CITY","CA","94061","US","650-367-1770"
"MANCINI - SANTA CLARA","50 N. WINCHESTER BLVD.","SANTA CLARA","CA","95050","US","408-261-7400"
"MANCINI - SAN JOSE","1086 BLOSSOM HILL RD","SAN JOSE","CA","95123","US","408-264-6100"
"MANCINI - CONCORD","1000 SUNVALLEY BLVD","CONCORD","CA","94523","US","925-689-9300"
"BLOOMINGDALE'S - PALM BEACH","3105 PGA BLVD","PALM BEACH GARDENS","FL","33410","US","561-625-2000"
"MANCINI - DUBLIN","7850 DUBLIN BLVD","DUBLIN","CA","94568","US","925-828-9760"
"MANCINI - SAN RAFAEL","28 BELLAM BLVD.","SAN RAFAEL","CA","94901","US","415-256-9800"
